Data,Umidita R.,Batteria,Temperatura
2016-01-09 07:21:12,"5,9","8,8","58,1"
2016-01-09 07:51:12,"5,9","8,9",59
2016-01-09 08:21:12,"5,9",9,"58,5"
2016-01-09 08:51:12,"5,9",9,"58,1"
2016-01-09 09:21:12,"5,9",9,"58,1"
2016-01-09 09:51:12,"5,9","9,1","58,5"
2016-01-09 10:21:12,"5,9","9,1","58,1"
2016-01-09 10:51:12,"5,9","9,1","58,1"
2016-01-09 11:21:12,"5,9","9,1","58,6"
2016-01-09 11:51:12,"5,9","9,1","57,7"
2016-01-09 12:21:12,"5,9","9,1","58,1"
2016-01-09 12:51:12,"5,9","9,2","58,1"
2016-01-09 13:21:12,"5,9","9,2","57,7"
2016-01-09 13:51:12,"5,9","9,1","58,1"
2016-01-09 14:21:12,"5,9","9,2","58,6"
2016-01-09 14:51:12,"5,9","9,2","58,1"
2016-01-09 15:21:12,"5,9","9,2","57,7"
2016-01-09 15:51:12,"5,9","9,2","58,1"
2016-01-09 16:21:12,"5,9","9,2","58,1"
2016-01-09 16:51:12,"5,9","9,3","58,1"
2016-01-09 17:21:12,"5,9","9,2","57,7"
2016-01-09 17:51:12,"5,9","9,3","58,1"
2016-01-09 18:21:12,"5,9","9,3","58,1"
2016-01-09 18:51:12,"5,9","9,4","58,1"
2016-01-09 19:21:12,"5,9","9,4","58,6"
2016-01-09 19:51:12,"5,9","9,5","58,1"
2016-01-09 20:21:12,"5,9","9,5","58,1"
2016-01-09 20:51:12,"5,9","9,5","58,1"
2016-01-09 21:21:12,"5,9","9,5","58,1"
2016-01-09 21:51:12,"5,9","9,5","58,1"
2016-01-09 22:21:12,"5,9","9,5","58,1"
2016-01-09 22:51:12,"5,9","9,5","58,1"
2016-01-09 23:21:12,"5,9","9,5","58,1"
2016-01-09 23:51:12,"5,9","9,5","58,6"
2016-01-10 00:21:12,"5,9","9,5","58,1"
2016-01-10 00:51:12,"5,9","9,6","58,6"
2016-01-10 01:21:12,"5,9","9,6","58,2"
2016-01-10 01:51:12,"5,9","9,6","58,2"
2016-01-10 02:21:12,"5,9","9,6","58,6"
2016-01-10 02:51:12,"5,9","9,6","58,6"
2016-01-10 03:21:12,"5,9","9,6","58,6"
2016-01-10 03:51:12,"5,9","9,6","58,6"
2016-01-10 04:21:12,"5,9","9,6","58,2"
2016-01-10 04:51:12,"5,9","9,6","58,6"
2016-01-10 05:21:12,"5,9","9,6","58,6"
2016-01-10 05:51:12,"5,9","9,6","59,1"
2016-01-10 06:21:12,"5,9","9,6","58,6"
2016-01-10 06:51:12,"5,9","9,6","58,6"
2016-01-10 07:21:12,"5,9","9,6","58,6"
2016-01-10 07:51:12,"5,9","9,6","59,1"
2016-01-10 08:21:12,"5,9","9,6","58,6"
2016-01-10 08:51:12,"5,9","9,7","59,1"
2016-01-10 09:21:12,"5,9","9,8","58,6"
2016-01-10 09:51:12,"5,9","9,8","58,7"
2016-01-10 10:21:12,"5,9","9,9","58,7"
2016-01-10 10:51:12,"5,9","9,9","58,2"
2016-01-10 11:21:12,"5,9",10,"58,7"
2016-01-10 11:51:12,"5,9",10,"58,2"
2016-01-10 12:21:12,"5,9","10,1","58,2"
2016-01-10 12:51:12,"5,9","10,2","58,2"
2016-01-10 13:21:12,"5,9","10,1","57,9"
2016-01-10 13:51:12,"5,9","10,2","58,2"
2016-01-10 14:21:12,"5,9","10,2","57,9"
2016-01-10 14:51:12,"5,9","10,1","57,9"
2016-01-10 15:21:12,"5,9","10,1","58,2"
2016-01-10 15:51:12,"5,9","10,2","58,2"
2016-01-10 16:21:12,"5,9","10,2","58,3"
2016-01-10 16:51:12,"5,9","10,2","58,3"
2016-01-10 17:21:12,"5,9","10,2","58,3"
2016-01-10 17:51:12,"5,9","10,2","58,3"
2016-01-10 18:21:12,"5,9","10,3","58,3"
2016-01-10 18:51:12,"5,9","10,3","57,9"
2016-01-10 19:21:12,"5,9","10,3","57,9"
2016-01-10 19:51:12,"5,9","10,4","58,3"
2016-01-10 20:21:12,"5,9","10,4","57,9"
2016-01-10 20:51:12,"5,9","10,4","58,3"
2016-01-10 21:21:12,"5,9","10,4","58,3"
2016-01-10 21:51:12,"5,9","10,3","58,3"
2016-01-10 22:21:12,"5,9","10,4","58,3"
2016-01-10 22:51:12,"5,9","10,4","58,3"
2016-01-10 23:21:12,"5,9","10,4","58,3"
2016-01-10 23:51:12,"5,9","10,4","58,3"
2016-01-11 00:21:12,"5,9","10,4","58,3"
2016-01-11 00:51:12,"5,9","10,4","58,8"
2016-01-11 01:21:12,"5,9","10,4","58,3"
2016-01-11 01:51:12,"5,9","10,4","58,8"
2016-01-11 02:21:12,"5,9","10,4","58,3"
2016-01-11 02:51:12,"5,9","10,4","58,3"
2016-01-11 03:21:12,"5,9","10,4","58,8"
2016-01-11 03:51:12,"5,9","10,4","58,8"
2016-01-11 04:21:12,"5,9","10,4","58,3"
2016-01-11 04:51:12,"5,9","10,4","58,3"
2016-01-11 05:21:12,"5,9","10,3","58,8"
2016-01-11 05:51:12,"5,9","10,3","58,7"
2016-01-11 06:21:12,"5,9","10,4","58,7"
2016-01-11 06:51:12,"5,9","10,4","58,8"
2016-01-11 07:21:12,"5,9","10,4","58,8"
2016-01-11 07:51:12,"5,9","10,4","59,2"
2016-01-11 08:21:12,"5,9","10,4","58,8"
2016-01-11 08:51:12,"5,9","10,4","58,3"
2016-01-11 09:21:12,"5,9","10,4","59,2"
2016-01-11 09:51:12,"5,9","10,4","58,8"
2016-01-11 10:21:12,"5,9","10,4","58,8"
2016-01-11 10:51:12,"5,9","10,4","58,8"
2016-01-11 11:21:12,"5,9","10,4","59,2"
2016-01-11 11:51:12,"5,9","10,4","58,8"
2016-01-11 12:21:12,"5,9","10,4","58,8"
2016-01-11 12:51:12,"5,9","10,4","58,8"
2016-01-11 13:21:12,"5,9","10,4","59,2"
2016-01-11 13:51:12,"5,9","10,4","58,8"
2016-01-11 14:21:12,"5,9","10,4","58,8"
2016-01-11 14:51:12,"5,9","10,4","59,2"
2016-01-11 15:21:12,"5,9","10,4","59,2"
2016-01-11 15:51:12,"5,9","10,4","59,2"
2016-01-11 16:21:12,"5,9","10,4","59,2"
2016-01-11 16:51:12,"5,9","10,5","59,2"
2016-01-11 17:21:12,"5,9","10,5","59,3"
2016-01-11 17:51:12,"5,9","10,6","59,3"
2016-01-11 18:21:12,"5,9","10,6","59,3"
2016-01-11 18:51:12,"5,9","10,7","58,8"
2016-01-11 19:21:12,"5,9","10,7","58,8"
2016-01-11 19:51:12,"5,9","10,7","58,8"
2016-01-11 20:21:12,"5,9","10,7","58,8"
2016-01-11 20:51:12,"5,9","10,7","58,8"
2016-01-11 21:21:12,"5,9","10,7","59,3"
2016-01-11 21:51:12,"5,9","10,7","59,3"
2016-01-11 22:21:12,"5,9","10,8","59,3"
2016-01-11 22:51:12,"5,9","10,8","59,3"
